ID,NAME,LINES,NETWORK,Zone,EASTING,NORTHING,LAT,LONG
0,Abbey Road ,"District, Circle",London Underground,1,530959,180803,-0.112643564,51.5104742
1,Acton Central,"District, Circle",London Underground,1,531694,180893,-0.102020251,51.51111447
2,Acton Town,"District, Circle",London Underground,1,532354,180932,-0.092495313,51.51130597
3,Addington Village,"District, Circle",London Underground,1,532611,180900,-0.088801035,51.51096254
4,Addiscombe,"District, Circle",London Underground,1,532912,180824,-0.084502291,51.51020898
5,Aldgate,"District, Circle",London Underground,1,533579,180755,-0.074913869,51.50943419
6,Aldgate East,"Metropolitan, Circle",London Underground,1,533613,181262,-0.0742363,51.51398203
7,All Saints ,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1,533094,181567,-0.081601363,51.5168424
8,Alperton,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1,532668,181668,-0.087700241,51.5178533
9,Amersham,"Metropolitan, Circle, Hammersmith & City",London Underground,1,532004,181856,-0.097189673,51.51969921
10,Ampere Way,"Metropolitan, Circle, Hammersmith & City",London Underground,1,531560,181874,-0.103582415,51.51996102
11,Anerley,"Metropolitan, Northern, Piccadilly, Circle, Victoria, Hammersmith & City",London Underground,1,530175,182875,-0.123168404,51.52927728
12,Angel,"Metropolitan, Circle, Hammersmith & City",London Underground,1,529417,182393,-0.134270582,51.52512499
13,Archway,"Metropolitan, Circle, Hammersmith & City",London Underground,1,528838,182180,-0.142685711,51.52333822
14,Arena,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",London Underground,1,527955,182064,-0.155454387,51.52249387
15,Arnos Grove,Circle,London Underground,1,527220,181697,-0.166170742,51.51936413
16,Arsenal,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,526704,181198,-0.173789485,51.51499491
17,Avenue Road,"District, Circle",London Underground,1,525843,180823,-0.186322701,51.51181507
18,Baker Street,"District, Circle",London Underground,1,525578,179494,-0.190607248,51.49993492
19,Balham,"District, Piccadilly, Circle",London Underground,1,526183,178846,-0.182135121,51.49397763
20,Bank,"District, Piccadilly, Circle",London Underground,1,526918,178820,-0.171564291,51.49357736
21,Bank ,"District, Circle, Victoria",London Underground,1,528999,179130,-0.141485017,51.49588954
22,Barbican,Victoria,London Underground,1,529671,178333,-0.132103672,51.48856954
23,Barking,"Northern, Victoria",London Underground,1,529249,182266,-0.136735811,51.52401887
25,Barkingside,Piccadilly,London Underground,1,528213,179817,-0.152546395,51.50224103
26,Barons Court,Piccadilly,London Underground,1,527710,179636,-0.159863737,51.50073061
27,Bayswater,"Piccadilly, Northern",London Underground,1,529980,180824,-0.126725567,51.51089472
28,Beckenham Junction ,Piccadilly,London Underground,1,530251,181025,-0.122759938,51.51263471
29,Beckenham Road,Piccadilly,London Underground,1,530229,182128,-0.122662273,51.52255053
30,Beckton ,"District, Piccadilly",London Underground,1,525534,178552,-0.19157701,51.4914734
31,Beckton Park ,"District, Central, Circle",London Underground,1,525285,180456,-0.194491212,51.5086469
32,Becontree,Central,London Underground,1,526711,180773,-0.173843886,51.51117805
33,Beddington Lane,Central,London Underground,1,527960,181017,-0.155755638,51.51309055
34,Belgrave Walk,"Central, Jubilee",London Underground,1,528491,181118,-0.148076884,51.51387033
35,Belsize Park,"Waterloo & City, Northern, Central",London Underground,1,532710,181120,-0.08729695,51.51291511
36,Bermondsey,"Central, Bakerloo, Victoria",London Underground,1,529047,181236,-0.140025246,51.51481046
37,Bethnal Green,"Central, Piccadilly",London Underground,1,530512,181525,-0.1188087,51.51706879
39,Birkbeck ,Central,London Underground,1,532108,181274,-0.095907533,51.51444286
40,Blackfriars,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,526659,181314,-0.174388339,51.51605291
41,Blackhorse Lane,"District, Bakerloo, Northern, Circle",London Underground,1,530419,180396,-0.120562428,51.50694137
42,Blackhorse Road,"District, Circle, Jubilee",London Underground,1,530196,179668,-0.124052209,51.50045311
44,Blackwall ,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,530968,179962,-0.112818812,51.50291418
45,Bond Street,"Piccadilly, Victoria, Jubilee",London Underground,1,529007,180295,-0.140937126,51.50635747
46,Borough,Hammersmith & City,London Underground,1,526459,181527,-0.17719615,51.51800497
47,Boston Manor,"Bakerloo, Piccadilly",London Underground,1,529613,180666,-0.132081484,51.50955061
48,Bounds Green,"Bakerloo, Northern",London Underground,1,530058,180378,-0.125777173,51.50686754
49,Bow Church ,Bakerloo,London Underground,1,531134,179456,-0.110624882,51.49833058
50,Bow Road,Bakerloo,London Underground,1,527047,181759,-0.168645951,51.51996099
51,Brent Cross,Bakerloo,London Underground,1,527459,181957,-0.162637346,51.52165079
52,Brentwood,Bakerloo,London Underground,1,528699,182113,-0.144708117,51.52277011
53,Brixton,"District, Circle",London Underground,1,528091,178655,-0.15473274,51.49182524
54,Brockley,"District, Circle",London Underground,1,529647,179498,-0.132021543,51.49905006
55,Bromley-By-Bow,Northern,London Underground,1,529537,181837,-0.132736642,51.52009307
56,Brondesbury,"Central, Northern",London Underground,1,529815,181382,-0.128897348,51.51594793
57,Brondesbury Park,Northern,London Underground,1,532440,179751,-0.091702818,51.50067969
58,Bruce Grove,Northern,London Underground,1,532764,182419,-0.086025441,51.52457628
59,Buckhurst Hill,Northern,London Underground,1,531561,183100,-0.103116359,51.5309796
60,Burnt Oak,n/a,London Overground,1,533555,182248,-0.074700292,51.52285471
61,Bush Hill Park,"Hammersmith & City, District",London Underground,1,533936,181375,-0.069540402,51.51491653
62,Bushey,Jubilee,London Underground,1,531592,180074,-0.103788452,51.50377646
63,Caledonian Road,"Northern, Jubilee",London Underground,1,532683,180189,-0.088037808,51.50455372
64,Caledonian Road & Barnsbury,n/a,London Overground,1,533202,181646,-0.080013644,51.51752768
65,Cambridge Heath,n/a,TfL Rail,1,533094,181567,-0.081601363,51.5168424
66,Camden Road,n/a,DLR,1,533706,180834,-0.073061976,51.51011047
67,Camden Town,n/a,DLR,1,532709,181114,-0.087316571,51.51286207
68,Canada Water,n/a,London Overground,1,529608,182690,-0.131403702,51.52774704
70,Canary Wharf,District,London Underground,2,524519,175887,-0.207131382,51.46774182
71,Canary Wharf ,District,London Underground,2,524985,176647,-0.200166803,51.47447238
72,Canning Town,Central,London Underground,2,523308,180748,-0.222866489,51.51170695
73,Canning Town ,Central,London Underground,2,523720,179884,-0.217238899,51.50384346
74,Cannon Street,Central,London Underground,2,524626,180217,-0.204062863,51.50664438
75,Canonbury,Victoria,London Underground,2,531052,175429,-0.113288835,51.46215131
76,Canons Park,Victoria,London Underground,2,530337,177973,-0.122646146,51.48518446
77,Carpenders Park,Victoria,London Underground,2,531583,184874,-0.102125867,51.54691824
78,Centrale,Piccadilly,London Underground,2,530558,184970,-0.116864262,51.54801774
79,Chadwell Heath,Piccadilly,London Underground,2,530907,185450,-0.111653531,51.55225038
80,Chalfont & Latimer,Piccadilly,London Underground,2,531305,186112,-0.105674399,51.55811105
81,Chalk Farm,Piccadilly,London Underground,2,532048,187482,-0.094452148,51.57024769
82,Chancery Lane,"Hammersmith & City, Circle",London Underground,2,523197,180064,-0.224700725,51.50558155
83,Charing Cross,"Hammersmith & City, Circle",London Underground,2,523184,179608,-0.225049873,51.50148234
84,Chesham,"Hammersmith & City, Circle",London Underground,2,523763,180898,-0.216257476,51.51295039
85,Cheshunt,"Hammersmith & City, Circle",London Underground,2,524235,181339,-0.209304449,51.51681261
86,Chigwell,"Hammersmith & City, Circle",London Underground,2,525834,181571,-0.186186162,51.51854003
87,Chingford,"Hammersmith & City, Circle",London Underground,2,524901,181756,-0.199554267,51.52041239
88,Chiswick Park,Bakerloo,London Underground,2,524547,183200,-0.204142926,51.53347212
89,Chorleywood,"District, Hammersmith & City, Central",London Underground,2,536501,182534,-0.032150165,51.52472507
90,Church Street,Central,London Underground,2,535044,182718,-0.053074702,51.52672839
91,Clapham Common,n/a,London Overground,2,535299,179811,-0.050510094,51.50053752
92,Clapham High Street,District,London Underground,2,524342,179162,-0.208533266,51.49722528
93,Clapham Junction,"Piccadilly, Victoria",London Underground,2,531330,186775,-0.105068129,51.56406609
94,Clapham North,"Northern, Victoria",London Underground,2,530460,176433,-0.121436641,51.47131386
95,Clapham South,Hammersmith & City,London Underground,2,523325,178698,-0.223334507,51.49327356
96,Clapton,Bakerloo,London Underground,2,523257,182790,-0.222882378,51.5300656
97,Cockfosters,"Northern, Bakerloo",London Underground,2,531909,179142,-0.099577259,51.4953253
98,Colindale,Bakerloo,London Underground,2,526112,182039,-0.182005998,51.52269118
99,Colliers Wood,Bakerloo,London Underground,2,525940,182762,-0.184228557,51.52922219
100,Coombe Lane,Bakerloo,London Underground,2,525358,183328,-0.192420271,51.53444139
101,Covent Garden,District,London Underground,2,522571,178722,-0.234181724,51.49365752
102,Crossharbour ,"District, Piccadilly",London Underground,2,523461,178503,-0.22144689,51.49148885
103,Crouch Hill,Jubilee,London Underground,2,524583,184645,-0.203115567,51.54644842
104,Croxley,Jubilee,London Underground,2,525592,184653,-0.188568627,51.54629707
105,Crystal Palace,Jubilee,London Underground,2,526664,184335,-0.173237239,51.54319998
106,Custom House ,"Metropolitan, Jubilee",London Underground,2,526220,184716,-0.179489511,51.54672589
107,Cutty Sark ,Northern,London Underground,2,529364,186721,-0.13344404,51.56403452
108,Cyprus ,Northern,London Underground,2,528834,174323,-0.145610374,51.45272059
109,Dagenham East,Northern,London Underground,2,529505,175338,-0.135588991,51.46169503
110,Dagenham Heathway,Northern,London Underground,2,530039,175743,-0.127754372,51.4652144
